step,vehicle_id,lane_index,position,speed,target_speed,priority
38,4,1,320.7907481717006,25.000000349764008,25.000000349764008,12.785178332099754
39,4,1,325.79074823416875,25.00000024565044,25.00000024565044,12.68503373054397
40,4,1,330.79074827804214,25.000000172528154,25.000000172528154,12.584942960982726
41,4,1,335.7907483088558,25.000000121172036,25.000000121172036,12.4844674805576
42,4,1,340.7907483304973,25.000000085102997,25.000000085102997,12.38486483720862
43,4,1,345.79074834569684,25.000000059770557,25.000000101570336,12.284283394192922
43,8,2,321.2331910206209,25.00000047776835,25.00000043596857,12.17540080176424
44,4,1,350.79074835637186,25.000000041978772,25.000000089692726,12.184314628154072
44,6,1,320.1054832499897,25.000000225545108,25.000000207188474,12.797967753393753
44,8,2,326.23318538758224,25.00000033555198,25.00000030619466,12.07599523502635
45,4,1,355.79074836386934,25.000000029483033,25.00000006299407,12.084263047074721
45,6,1,325.1054832902722,25.000000158407538,25.000000145515088,12.698716840560188
45,8,2,331.23318527936794,25.00000023566888,25.000000215050296,11.976061970312356
46,4,1,360.7907483691351,25.000000020706878,25.00000004424275,11.984605023249207
46,6,1,330.105483318564,25.00000011125468,25.0000001021999,12.59878224896683
46,8,2,336.2331853165149,25.00000016551779,25.000000151036698,11.87596274080455
47,4,1,365.7907483728334,25.0000000145431,25.000000031073096,11.884854960616936
47,6,1,335.1054833384342,25.000000078137717,25.000000071778256,12.49848872389254
47,8,2,341.2331853459312,25.000000116248437,25.000000106077902,11.775472482197367
48,4,1,370.7907483754308,25.000000010214087,25.000000018190875,11.784752375390102
48,6,1,340.1054833523897,25.000000054878615,25.00000005124586,12.398678234066084
48,8,2,346.233185366689,25.00000008164499,25.0000000745019,11.676275171687323
48,11,2,320.6670815930122,25.000000018551038,25.0000000213501,12.187318717667065
49,4,1,375.79074837725506,25.00000000717368,25.00000001277603,11.68488444284755
49,6,1,345.1054833621911,25.000000038543007,25.000000035991604,12.298094132791539
49,8,2,351.2331853812707,25.000000057341886,25.000000052325063,11.575400706237497
49,11,2,325.6670697568844,25.000000013028984,25.000000014994857,12.087295751781685
50,4,1,380.79074837853625,25.000000005038302,25.000000008973014,11.584560368737792
50,6,1,350.1054833690749,25.000000027069987,25.000000025278055,12.198068130246101
50,8,2,356.233185391512,25.00000004027304,25.000000036749565,11.476125311796674
50,11,2,330.6670694110851,25.00000000915067,25.000000010531366,11.98737477791855
51,4,1,385.7907483794361,25.00000000353856,25.000000006302034,11.485152139442647
51,5,1,324.92169971479507,25.000000021873543,25.0000000215874,12.702430987733607
51,6,1,355.10548337390964,25.000000019012116,25.000000018039728,12.09822068505405
51,8,2,361.23318539870473,25.000000028285044,25.000000025810394,11.376164524257275
51,11,2,335.66706940248395,25.00000000642681,25.000000007396515,11.887309253179213
52,4,1,390.7907483800681,25.000000002485244,25.00000000442612,11.384541498438406
52,5,1,329.9216997187017,25.000000015362488,25.000000015161522,12.60189839761822
52,6,1,360.10548337730523,25.000000013352818,25.00000001266988,11.99885587780085
52,8,2,366.23318540375647,25.00000001986549,25.000000018127466,11.276305816658065
52,11,2,340.66706940333086,25.000000004513755,25.00000000519481,11.786866283694323
53,4,1,395.790748380512,25.000000001745466,25.000000003108603,11.284210974730494
53,5,1,334.92169972144546,25.000000010789567,25.00000001064842,12.502009865798303
53,6,1,365.10548337969004,25.000000009378113,25.00000000889846,11.898722028573738
53,8,2,371.2331854073044,25.000000013952167,25.000000012731498,11.175524393983139
53,11,2,345.6670694041282,25.000000003170154,25.00000000364848,11.687025459242124
54,4,1,400.79074838082374,25.0000000012259,25.000000002183274,11.1851740866126
54,5,1,339.9216997233725,25.000000007577857,25.000000007478725,12.401892843293831
54,6,1,370.10548338136493,25.000000006586546,25.00000000624967,11.797975926829897
54,8,2,376.2331854097963,25.000000009799052,25.000000008941736,11.07611473530136
54,11,2,350.66706940469413,25.0000000022265,25.000000002562444,11.58748846287407
55,4,1,405.7907483810427,25.00000000086099,25.000000001533383,11.085163134950339
55,5,1,344.92169972472595,25.000000005322175,25.000000005252552,12.301938844041567
55,6,1,375.10548338254125,25.000000004625942,25.000000004389346,11.698131003729497
55,8,2,381.2331854115464,25.00000000688219,25.000000006280068,10.975741515616829
55,11,2,355.6670694050918,25.00000000156374,25.000000001799688,11.487091967557118
56,4,1,410.79074838119647,25.0000000006047,25.000000001076945,10.985049268336509
56,5,1,349.92169972567655,25.000000003737934,25.000000003634884,12.202042372299893
56,6,1,380.1054833833674,25.00000000324895,25.00000000308278,11.598617669487144
56,7,1,321.83623260878045,25.000000003196405,25.00000000325056,12.763574248436125
56,8,2,386.2331854127755,25.00000000483358,25.000000004410694,10.875947518042723
56,11,2,360.66706940537114,25.000000001098265,25.000000001263977,11.387138410827626
57,4,1,415.79074838130447,25.0000000004247,25.000000000756373,10.88424967794091
57,5,1,354.9216997263441,25.00000000262527,25.000000002552895,12.101985819526103
57,6,1,385.10548338394767,25.00000000228184,25.000000002165134,11.498186176645062
57,7,1,326.8362326093513,25.000000002244935,25.000000002282967,12.663979556664655
57,8,2,391.23318541363886,25.000000003394778,25.00000000309777,10.775363975185462
57,11,2,365.6670694055673,25.000000000771347,25.00000000088773,11.287002523794289
58,5,1,359.921699726813,25.000000001843812,25.000000001857693,12.002495867539258
58,6,1,390.1054833843552,25.000000001602608,25.000000001520643,11.398236571273229
58,7,1,331.8362326097523,25.00000000157669,25.000000001641403,12.563922021248986
58,8,2,396.23318541424516,25.000000002384258,25.000000002200007,10.675573986867018
58,9,2,321.60002143196664,25.000000002223807,25.000000002121094,12.168782463935509
58,11,2,370.66706940570504,25.000000000541743,25.00000000083208,11.187355778631115
59,5,1,364.9216997271423,25.000000001294968,25.000000001304716,11.90177779952035
59,6,1,395.1054833846414,25.000000001125564,25.000000001067995,11.29811627678917
59,7,1,336.8362326100339,25.00000000110736,25.00000000115281,12.463801396599928
59,8,2,401.1261895298973,23.511659809630643,23.660493828705626,9.833896542668684
59,9,2,326.6000166218823,25.000000001561848,25.00000000148971,12.068402146461402
59,11,2,375.6670694058018,25.000000000380485,24.85116598138001,11.087314838247593
60,5,1,369.9216997273736,25.0000000009095,25.000000000916344,11.802530816635239
60,6,1,400.10548338484244,25.000000000790518,24.851165981545698,11.198625349688298
60,7,1,341.83623261023166,25.00000000077773,25.000000000809653,12.364024352450597
60,8,2,405.860370746926,23.95469111458284,23.91038798394689,9.96044498786568
60,9,2,331.6000164807152,25.000000001096936,25.00000000104627,11.968783954306712
60,11,2,380.5600735210961,23.51165980822333,23.704796958116003,10.24548561483862
61,5,1,374.921699727536,25.000000000638767,24.8954691119475,11.702394576830876
61,6,1,404.99848750021,23.51165980851131,23.482547554967727,10.356236304962877
61,7,1,346.83623261037053,25.000000000546223,25.00000000056864,12.263837678427757
61,8,2,410.5666818348803,22.777505967992337,22.850921352044235,9.27792056705528
61,9,2,336.60001647675244,25.000000000770413,25.00000000073483,11.86812016094623
61,11,2,385.2942547378735,23.95469111359444,24.01491887179056,10.371763227750785
62,5,1,379.81470384287644,23.51165980840473,23.735912462712097,10.860359499385527
62,6,1,409.51867694749143,20.978010729708902,21.255232301980076,8.999568159841083
62,7,1,351.8362326104681,25.00000000038363,25.000000000399375,12.163489878449402
62,8,2,414.9557508020032,20.462391022787486,20.513952993479627,8.032598400261994
62,9,2,341.6000164767678,25.000000000541085,24.851165981311706,11.76876010488263
62,11,2,390.10756171042493,24.265846159342047,23.861643981285,10.431459180508762
