step,vehicle_id,lane_index,position,virtual_position,speed,target_speed,priority
38,4,1,320.7907481717006,320.7907481717006,25.000000349764008,25.500000349764008,9.59308581381676
39,4,1,325.79074823416875,325.79074823416875,25.00000024565044,25.50000024565044,9.542941212885658
40,4,1,330.79074827804214,330.79074827804214,25.000000172528154,25.500000172528154,9.492850443763148
41,4,1,335.7907483088558,335.7907483088558,25.000000121172036,25.500000121172036,9.442374963646158
42,4,1,340.7907483304973,340.7907483304973,25.000000085102997,25.500000085102997,9.392772320513593
43,4,1,345.79074834569684,345.79074834569684,25.000000059770557,25.500000059770557,9.342190877649891
43,8,2,321.2331910206209,321.2331910206209,25.00000047776835,25.50000047776835,8.98773271197045
44,4,1,350.79074835637186,350.79074835637186,25.000000041978772,25.000000041978772,9.292222111717791
44,6,1,320.1054832499897,320.1054832499897,25.000000225545108,25.500000225545108,9.59902258589365
44,8,2,326.23318538758224,326.23318538758224,25.00000033555198,25.50000033555198,8.93832708890217
45,4,1,355.79074836386934,355.79074836386934,25.000000029483033,25.000000029483033,9.242170530713414
45,6,1,325.21247917504587,325.21247917504587,26.488340350451434,26.988340350451434,10.292871810637122
45,8,2,331.23318527936794,331.23318527936794,25.00000023566888,25.50000023566888,8.888393823106036
46,4,1,360.7907483691351,360.7907483691351,25.000000020706878,25.000000020706878,9.192512506940558
46,6,1,330.5852938713817,330.5852938713817,27.53364918989182,28.03364918989182,10.761863515942864
46,8,2,336.2331853165149,336.2331853165149,25.00000016551779,25.50000016551779,8.8382945939697
47,4,1,365.7907483728334,365.7907483728334,25.0000000145431,25.0000000145431,9.14276244434527
47,6,1,336.144801586778,336.144801586778,28.267802997564623,28.767802997564623,11.073051834506899
47,8,2,341.2331853459312,341.2331853459312,25.000000116248437,25.500000116248437,8.787804335656679
48,4,1,370.7907483754308,370.7907483754308,25.000000010214087,25.000000010214087,9.09265985914441
48,6,1,341.8354297764665,341.8354297764665,28.78342268141713,29.28342268141713,11.27414491661847
48,8,2,346.233185366689,346.233185366689,25.00000008164499,25.00000008164499,8.738607025354213
48,11,2,320.6670815930122,320.6670815930122,25.000000018551038,25.500000018551038,8.993989533597187
49,4,1,375.79074837725506,375.79074837725506,25.00000000717368,25.00000000717368,9.0427919266201
49,6,1,347.6181480660694,347.6181480660694,29.1455588654123,29.6455588654123,11.396801732809314
49,8,2,351.2331853812707,351.2331853812707,25.000000057341886,25.000000057341886,8.687732560050204
49,11,2,325.6670697568844,325.6670697568844,25.000000013028984,25.500000013028984,8.943966449350528
50,4,1,380.79074837853625,380.79074837853625,25.000000005038302,25.000000005038302,8.992467852523156
50,6,1,353.4655441761883,353.4655441761883,29.399898681880796,29.899898681880796,11.46547168327112
50,8,2,356.233185391512,356.233185391512,25.00000004027304,25.00000004027304,8.638457165711793
50,11,2,330.6670694110851,330.6670694110851,25.00000000915067,25.50000000915067,8.8940454720294
51,4,1,385.7907483794361,385.7907483794361,25.00000000353856,25.00000000353856,8.943059623237009
51,5,1,324.8147038300214,324.8147038300214,23.51165982982965,24.01165982982965,8.808547847707347
51,6,1,359.35836558686174,359.35836558686174,29.578529664091864,29.578529664091864,11.496011519203499
51,8,2,361.23318539870473,361.23318539870473,25.000000028285044,25.000000028285044,8.588496378244322
51,11,2,335.66706940248395,335.66706940248395,25.00000000642681,25.50000000642681,8.843979947204053
52,4,1,390.7907483800681,390.7907483800681,25.000000002485244,32.27878149585515,8.892448982239086
52,5,1,329.441889165884,329.441889165884,22.46635093672535,22.96635093672535,8.239088961014845
52,6,1,365.28309063797934,365.28309063797934,29.703987912229127,29.703987912229127,11.500128588405317
52,8,2,366.23318540375647,366.23318540375647,25.00000001986549,25.00000001986549,8.53863767069563
52,11,2,340.66706940333086,340.66706940333086,25.000000004513755,25.500000004513755,8.793536977727632
53,4,1,395.790748380512,395.790748380512,25.000000001745466,32.278781492011284,8.842118458535612
53,5,1,333.8823814731016,333.8823814731016,21.732197091362664,22.232197091362664,7.827718585782746
53,6,1,371.2302226354721,371.2302226354721,29.792101249741172,29.792101249741172,11.484580089994347
53,8,2,371.2331854073044,371.2331854073044,25.000000013952167,25.000000013952167,8.487856248056183
53,11,2,345.6670694041282,345.6670694041282,25.000000003170154,25.500000003170154,8.743696153283405
54,4,1,400.79074838082374,400.79074838082374,25.0000000012259,33.25502413636261,8.793081570420837
54,5,1,338.1917532992956,338.1917532992956,21.21657738103935,21.71657738103935,7.526697991499071
54,6,1,377.1930917475658,377.1930917475658,29.853986062918352,29.853986062918352,11.455147705147441
54,8,2,376.2331854097963,376.2331854097963,25.000000009799052,25.000000009799052,8.438446589399323
54,11,2,350.66706940469413,350.66706940469413,25.0000000022265,25.5000000022265,8.69415915692101
55,4,1,405.7907483810427,405.7907483810427,25.00000000086099,32.388098230329184,8.743070618760767
55,5,1,342.4090350208475,342.4090350208475,20.85444117845288,21.35444117845288,7.303503074892963
55,6,1,383.06001765345326,383.06001765345326,28.409109553105893,28.409109553105893,10.674195269085764
55,8,2,381.2331854115464,381.2331854115464,25.00000000688219,25.00000000688219,8.388073369732293
55,11,2,355.6670694050918,355.6670694050918,25.00000000156374,25.50000000156374,8.643762661608037
56,4,1,410.79074838119647,410.79074838119647,25.0000000006047,31.386224342964148,8.692956752148474
56,5,1,346.561638918563,346.561638918563,20.600101348927126,20.600101348927126,7.134910650222389
56,6,1,388.56189154071575,388.56189154071575,25.905986407668337,25.905986407668337,9.368101623957028
56,7,1,321.83623260878045,321.83623260878045,25.000000003196405,25.500000003196405,9.58193657452393
56,8,2,386.2331854127755,386.2331854127755,25.00000000483358,25.00000000483358,8.338279372170478
56,11,2,360.66706940537114,360.66706940537114,25.000000001098265,25.500000001098265,8.593809104881338
57,4,1,415.79074838130447,415.79074838130447,25.0000000004247,30.43840619436211,8.642157161753953
57,5,1,350.66881751339196,350.66881751339196,20.421470357545523,20.421470357545523,7.004466816379191
57,6,1,393.50970968924577,393.50970968924577,22.659622826784894,19.49999811757131,7.6950101596830836
57,7,1,326.8362326093513,326.8362326093513,25.000000002244935,25.500000002244935,9.53234188275817
57,8,2,391.23318541363886,391.23318541363886,25.000000003394778,32.78305800664353,8.287695829321851
57,11,2,365.6670694055673,365.6670694055673,25.000000000771347,25.500000000771347,8.543673217849962
58,5,1,354.7440924661388,354.7440924661388,20.296012102967502,20.296012102967502,6.901494987975975
58,6,1,397.7707287455522,397.7707287455522,18.89125773294083,16.49265207942739,5.7682678171739195
58,7,1,331.8362326097523,331.8362326097523,25.00000000157669,25.50000000157669,9.482284347346509
58,8,2,396.23318541424516,396.23318541424516,25.000000002384258,32.78305800610156,8.23790584100947
58,9,2,321.60002143196664,321.60002143196664,25.000000002223807,25.500000002223807,8.984782678255174
58,11,2,370.66706940570504,370.66706940570504,25.000000000541743,25.000000000541743,8.494026472688166
59,5,1,358.79696047136014,358.79696047136014,20.207898760931908,20.207898760931908,6.816191569168065
59,6,1,401.35871469456305,401.35871469456305,16.244614484589444,13.54099066443467,4.408946039268308
59,7,1,336.8362326100339,336.8362326100339,25.00000000110736,25.50000000110736,9.432163722700267
59,8,2,401.1261895298973,401.1261895298973,23.511659809630643,31.687721928903365,7.445158437967658
59,9,2,326.6000166218823,326.6000166218823,25.000000001561848,25.500000001561848,8.934402312680225
59,11,2,375.6670694058018,375.6670694058018,25.000000000380485,25.000000000380485,8.44398553230561
60,5,1,362.8340913611727,362.8340913611727,20.14601394457769,20.14601394457769,6.745630869405078
60,6,1,404.47400798111113,404.47400798111113,14.385792340342654,24.473523925940736,3.4488911073501027
60,7,1,341.83623261023166,341.83623261023166,25.00000000077773,25.50000000077773,9.382386678552914
60,8,2,405.6463789773787,405.6463789773787,20.978010730495047,14.586530711583102,6.132848420986516
60,9,2,331.6000164807152,331.6000164807152,25.000000001096936,25.500000001096936,8.884784119113865
60,11,2,380.6670694058697,380.6670694058697,25.000000000267228,25.000000000267228,8.394186487223793
61,5,1,366.86016957185035,366.86016957185035,20.10255026011492,20.10255026011492,6.683502005401169
61,6,1,407.3643099875756,407.3643099875756,14.568622329568504,23.54665592158336,3.511044215619917
61,7,1,346.83623261037053,346.83623261037053,25.000000000546223,25.500000000546223,9.332200004531463
61,8,2,409.60706072924484,409.60706072924484,17.710207810718057,12.889107537207805,4.459534517823297
61,9,2,336.60001647675244,336.60001647675244,25.000000000770413,25.500000000770413,8.834120325713755
61,11,2,385.6670694059174,385.6670694059174,25.000000000187683,25.000000000187683,8.343632071745702
62,5,1,370.87848513271035,370.87848513271035,20.072024325348202,20.072024325348202,6.628050983387689
62,6,1,410.3942614653668,410.3942614653668,16.18536986658309,23.3003508211293,4.289678652574336
62,7,1,351.8362326104681,351.8362326104681,25.00000000038363,25.50000000038363,9.281852204554083
62,8,2,412.9841101900891,412.9841101900891,15.415125375977563,11.941123085520365,3.278239490996207
62,9,2,341.6000164767678,341.6000164767678,25.000000000541085,25.500000000541085,8.784760269650308
62,11,2,390.5600735211773,390.5600735211773,23.51165980808792,27.320563357499474,7.550916503878426
